estado,count
guanajuato,3.3702122929476546
mexico,2.8737509160462382
tamaulipas,1.9677928164639982
sinaloa,1.5619577634345676
chihuahua,0.9632747754317533
jalisco,0.6111442106227587
nuevo_leon,0.5858176622006213
puebla,0.5607962529161
baja_california,0.31119243834611937
sonora,0.28281449854782087
ciudad_de_mexico,0.25687767185045124
aguascalientes,0.08203294599641836
guerrero,-0.05009230059135867
colima,-0.06870578798594158
coahuila,-0.14102376360096042
chiapas,-0.1544498856560694
michoacan,-0.1663503120230978
queretaro,-0.2865751322438464
quintana_roo,-0.3936789695471022
durango,-0.42846483123533907
veracruz,-0.4528759622446281
morelos,-0.48338987600623945
hidalgo,-0.5407560338780687
campeche,-0.5779830086672345
zacatecas,-0.5914091307223436
tabasco,-0.6020890005389075
yucatan,-0.6387056970528411
oaxaca,-0.6902742113099642
nayarit,-0.7680846914020731
tlaxcala,-0.7738823350167793
no_especificado,-0.7754080307048598
san_luis_potosi,-0.775713169842476
baja_california_sur,-0.7992088834389166
texas,-0.8169069534206512
california,-0.8172120925582673
new_york,-0.8172120925582673
georgia,-0.8172120925582673
